,Unnamed: 0,vol_id,page_seq,entity,type,lat,lng,amount
93411,93412,uc1.b5521446,26,Riverside Hall,LOCATION,38.5610131,-121.42238505383082,1.0
1791468,1791557,mdp.39015022276797,79,Michigan,LOCATION,43.6211955,-84.6824346,2.0
1987807,1987900,txu.059173005430726,445,Africa,LOCATION,11.5024338,17.7578122,7.0
2241169,2241264,mdp.39015016454152,78,Canada,LOCATION,61.0666922,-107.991707,2.0
247218,247220,mdp.39015053121862,145,Harrisburg,LOCATION,40.2663107,-76.8861122,1.0
2245844,2245940,uc1.$b63692,81,New Orleans,LOCATION,29.9759983,-90.0782127,7.0
1678445,1678532,uc1.$b87048,70,Danville,LOCATION,40.125222,-87.6304614,2.0
863051,863076,uc1.32106010537014,61,Linden Hills,LOCATION,44.9268804,-93.3188456,2.0
190531,190532,mdp.39015021862308,242,Windsor,LOCATION,51.483757749999995,-0.6040964041849046,1.0
1806737,1806826,mdp.39015066059711,170,Chicago,LOCATION,41.8755616,-87.6244212,11.0
647266,647284,uva.x030749476,180,Minnesota,LOCATION,45.9896587,-94.6113288,2.0
1544251,1544300,mdp.39015054061430,63,Naxos,LOCATION,37.8240743,15.2694003,2.0
95945,95946,uc1.b5521446,190,United States of America,LOCATION,39.7837304,-100.445882,2.0
1377552,1377601,mdp.39015054095792,22,America,LOCATION,51.4371483,5.9799001,12.0
1025321,1025346,uc1.b3455004,72,Jersey,LOCATION,49.2214561,-2.1358386,1.0
164342,164343,mdp.39015014891447,275,France,LOCATION,46.603354,1.8883335,5.0
481668,481679,mdp.39015040637855,177,England,LOCATION,52.5310214,-1.2649062,3.0
1611069,1611118,mdp.39015028718305,166,Paris,LOCATION,48.8588897,2.3200410217200766,15.0
1232844,1232893,mdp.39015004158161,131,Mediterranean,LOCATION,35.255701349999995,33.904011953206904,1.0
2584023,2584138,mdp.39015014862471,35,Mexico,LOCATION,23.6585116,-102.0077097,3.0
1508522,1508571,uc1.32106005672461,303,Atlantic,LOCATION,41.4036007,-95.0138776,1.0
959308,959333,umn.31951002320734j,400,Lafayette,LOCATION,30.2043259,-92.0298813,1.0
1881908,1881997,mdp.39015057621065,25,Cape,LOCATION,43.5789856,0.4245237,1.0
1611010,1611059,mdp.39015028718305,164,Paris,LOCATION,48.8588897,2.3200410217200766,15.0
347497,347504,uva.x001866470,33,New Orleans,LOCATION,29.9759983,-90.0782127,7.0
1234853,1234902,mdp.39015004158161,217,Collins Avenue,LOCATION,52.2401241,-7.075499757544579,1.0
2650770,2650885,mdp.39015013331627,66,England,LOCATION,52.5310214,-1.2649062,3.0
1071777,1071802,mdp.39015030113503,188,Savannah,LOCATION,32.0809263,-81.0911768,1.0
19767,19768,uc1.32106002160320,28,Brooklyn,LOCATION,40.6526006,-73.9497211,3.0
1368132,1368181,mdp.39015028489303,75,Bangor,LOCATION,44.8011821,-68.7778138,1.0
11402,11403,mdp.39015016452230,388,Gardener Building,LOCATION,41.824065250000004,-71.41494873056332,1.0
1935455,1935545,uc1.$b799673,183,Royal Albert Hall,LOCATION,51.501006950000004,-0.17740582939224336,1.0
1640880,1640959,mdp.39015042099351,294,Baynesville,LOCATION,38.14791,-76.8824748,1.0
968313,968338,mdp.39015003682385,39,Charlotte,LOCATION,35.2272086,-80.8430827,3.0
2650334,2650449,mdp.39015013331627,52,Munich,LOCATION,48.1371079,11.5753822,2.0
214631,214633,osu.32435055405872,89,New York,LOCATION,40.7127281,-74.0060152,13.0
158246,158247,mdp.39015014891447,111,Paris,LOCATION,48.8588897,2.3200410217200766,15.0
1018065,1018090,mdp.39015028095795,338,Paris,LOCATION,48.8588897,2.3200410217200766,15.0
4166,4166,mdp.39015016452230,20,State Street,LOCATION,40.7025343,-74.0139849,1.0
772989,773008,uc1.$b802495,111,St. Nicholas Avenue,LOCATION,40.8490963,-73.9338953,1.0
2568409,2568524,uc1.32106016182757,237,Sofia,LOCATION,-15.2538402,48.2562163,2.0
1649339,1649424,mdp.39015014139243,208,South,LOCATION,36.638392,127.6961188,14.0
1564625,1564674,mdp.39015033255236,177,Vienna,LOCATION,48.2083537,16.3725042,1.0
1936745,1936835,uc1.$b799673,252,America,LOCATION,51.4371483,5.9799001,12.0
2702030,2702148,mdp.39015014862497,175,Atlanta,LOCATION,33.7489924,-84.3902644,8.0
2337971,2338068,mdp.39015031592358,68,Baltimore Road,LOCATION,43.3682163,-72.5603475,1.0
903316,903341,uc1.$b803101,355,Chicago,LOCATION,41.8755616,-87.6244212,11.0
1793974,1794063,nyp.33433044940785,101,Zona,LOCATION,10.2387296,12.1314929,1.0
183634,183635,mdp.39015021862308,17,Lake Superior,LOCATION,47.7144587,-88.21154070104564,1.0
144349,144350,mdp.39015053394543,208,Plymouth,LOCATION,50.3712659,-4.1425658,1.0
1706100,1706187,uc1.$b251007,118,Chicago,LOCATION,41.8755616,-87.6244212,11.0
2677169,2677287,mdp.39015053538297,136,Lorette,LOCATION,45.509,4.58024,1.0
1194520,1194546,nyp.33433076094543,31,Washington,LOCATION,38.8950368,-77.0365427,4.0
2411971,2412079,uc1.b3973268,119,Poland,LOCATION,52.215933,19.134422,1.0
2642547,2642662,mdp.39015002215245,331,Harlem,LOCATION,40.8078786,-73.9454154,13.0
2441038,2441146,uc1.b4368522,180,Paris,LOCATION,48.8588897,2.3200410217200766,15.0
386589,386596,uc1.$b399838,20,United States,LOCATION,39.7837304,-100.445882,9.0
2013544,2013637,mdp.39015002340217,65,Algeria,LOCATION,28.0000272,2.9999825,1.0
2780147,2780271,uiuc.3004694,277,Pearl Street,LOCATION,40.7094262,-74.0017393,1.0
1161925,1161950,nc01.ark:/13960/t9p279r4b,28,Jordan,LOCATION,31.1667049,36.941628,1.0
1438763,1438812,uc1.b4097270,9,NEW YORK,LOCATION,40.7127281,-74.0060152,1.0
2093604,2093697,mdp.39015014135803,378,Mexico City,LOCATION,19.4326296,-99.1331785,2.0
467027,467038,mdp.39015020716356,307,Iesi,LOCATION,44.548837,8.9969945,1.0
1688441,1688528,mdp.39015008240296,50,America,LOCATION,51.4371483,5.9799001,12.0
52552,52553,miun.afb3853.0001.001,160,South,LOCATION,36.638392,127.6961188,14.0
108154,108155,uc1.$b187128,260,South Carolina,LOCATION,33.6874388,-80.4363743,1.0
1043143,1043168,mdp.39015011800169,134,Chicago,LOCATION,41.8755616,-87.6244212,11.0
1971924,1972014,uc1.b3435126,299,Richmond,LOCATION,37.5385087,-77.43428,5.0
1004483,1004508,uc1.b3711043,432,Kerman,LOCATION,29.571858,57.301047,3.0
468552,468563,mdp.39015020716356,347,Jerusalem,LOCATION,31.79592425,35.21198075969497,1.0
2680824,2680942,mdp.39015053538297,242,Azua,LOCATION,18.5767929,-70.8334767,1.0
1508037,1508086,uc1.32106005672461,291,Florida,LOCATION,27.7567667,-81.4639835,1.0
465274,465285,mdp.39015020716356,258,Sicily,LOCATION,37.587794,14.155048,1.0
1659158,1659245,mdp.39015063942067,222,Harlem,LOCATION,40.8078786,-73.9454154,13.0
655697,655715,mdp.39015016452750,37,Brooklyn,LOCATION,40.6526006,-73.9497211,3.0
2553375,2553490,txu.059173025245647,98,Cuba,LOCATION,23.0131338,-80.8328748,3.0
52224,52225,miun.afb3853.0001.001,148,Colfax,LOCATION,41.5738643,-97.0828487,1.0
37837,37838,mdp.39015015209623,95,Lenox Avenue,LOCATION,40.8008155,-73.9506734,2.0
2642036,2642151,mdp.39015002215245,293,London,LOCATION,51.5073219,-0.1276474,1.0
643152,643170,txu.059173022944752,213,Africa,LOCATION,11.5024338,17.7578122,7.0
1837298,1837387,uc1.b3470471,35,Gracie,LOCATION,42.5656265,-76.2490975,1.0
929628,929653,uva.x000652535,191,Cheshire,LOCATION,53.2141028,-2.471770086071205,1.0
965181,965206,uc1.$b805413,69,Mars,LOCATION,45.022172,4.3221548,2.0
2093353,2093446,mdp.39015014135803,371,Las Casas,LOCATION,39.0319997,-3.985291,2.0
1146901,1146926,inu.32000003479633,311,East,LOCATION,12.2527495,0.8736106,1.0
540801,540814,uc1.$b323002,158,Yass,LOCATION,-34.8362784,148.9156645,1.0
26940,26941,njp.32101066122597,102,Maine,LOCATION,45.709097,-68.8590201,1.0
2066502,2066595,mdp.39015014135811,493,Tennyson,LOCATION,42.6899948,-90.6851271,1.0
122021,122022,mdp.39015012057637,296,Asia,LOCATION,51.2086975,89.2343748,3.0
1409583,1409632,uc1.$b312802,45,America,LOCATION,51.4371483,5.9799001,12.0
1284920,1284969,mdp.39015010399841,365,Marmara,LOCATION,40.62164065,27.629427220927305,1.0
2133316,2133409,mdp.39015040116777,284,Potomac,LOCATION,39.0180508,-77.1956331355745,2.0
2740763,2740887,hvd.32044019565514,26,Greenway Court,LOCATION,39.0462184,-78.1186102,1.0
2267882,2267978,mdp.39015002741612,152,St. Charles Hotel,LOCATION,47.600713999999996,-122.33500450017836,1.0
1026930,1026955,mdp.39015073495692,25,Bohemia,LOCATION,40.77024305,-73.11976257246442,1.0
2161670,2161763,mdp.39015063683604,177,United States,LOCATION,39.7837304,-100.445882,9.0
1265980,1266029,mdp.39015019472599,14,France,LOCATION,46.603354,1.8883335,5.0
1022465,1022490,mdp.39015037423764,286,Jamaica,LOCATION,18.1850507,-77.3947693,2.0
1437822,1437871,mdp.39015061148626,341,Happyland,LOCATION,50.7608067,-109.5258146,1.0
228993,228995,mdp.39015025101117,229,Mississippi,LOCATION,32.9715285,-89.7348497,2.0
526617,526629,uc1.$b300242,59,Court Avenue,LOCATION,53.63063065,-8.192593905661171,1.0
2797583,2797707,nc01.ark:/13960/t3hx2p070,217,North Star,LOCATION,39.7592823,-75.7199186,1.0
1106983,1107008,uc1.$b799168,43,America,LOCATION,51.4371483,5.9799001,12.0
956579,956604,umn.31951002320734j,299,Boston,LOCATION,42.3602534,-71.0582912,3.0
1594599,1594648,mdp.39015024079561,151,Broadway,LOCATION,40.8277858,-73.9496453,2.0
